-0.08333337361790437+1.841675811944026*I,0.08333337445123812-1.8416758303607843*I
-0.0894124083665128+0.7317717779521609*I,0.09031556491885703-0.739163419539187*I
-0.09246936768574977+0.6375761905244074*I,0.0943564986013416-0.6505879561533541*I
-0.09454691249848579+0.5789273024543515*I,0.09747104481772809-0.5968322767244065*I
-0.09604835070944331+0.5356578035784275*I,0.1000503663645281-0.5579768845397879*I
-0.09715562959028903+0.5011330913105776*I,0.10226908485576831-0.5275085227217504*I
-0.0979710709602088+0.47229813058335757*I,0.10422454468346196-0.502444825114687*I
-0.09855943557690093+0.4474807001893947*I,0.10597788885664497-0.4811620483881883*I
-0.0989649142482926+0.42566123451838783*I,0.10757056013478065-0.46267525994037006*I
-0.0992192882293208+0.4061701140312357*I,0.1090321860655414-0.4463407895545534*I
-0.09934632151115207+0.38854288520210567*I,0.11038480290555566-0.43171432168805435*I
-0.0993643259253194+0.37244363255516827*I,0.11164531128289046-0.41847599633699806*I
-0.09928775441811169+0.3576212181289011*I,0.11282699493907004-0.4063877524917939*I
-0.09912823973310399+0.3438827623760119*I,0.11394050675001041-0.39526754750423837*I
-0.0988952985088434+0.33107678767308063*I,0.11499453448696367-0.38497301339861717*I
-0.09859682420147285+0.3190820745282717*I,0.1159962651311006-0.37539068033197476*I
-0.09823944163985486+0.30780004794857757*I,0.11695171763020482-0.366428632872457*I
-0.09782876800971972+0.2971494279869927*I,0.11786598697395133-0.3580113633338631*I
-0.09736960882845196+0.28706237939663165*I,0.11874342684864175-0.35007607670413715*I
-0.09686610768400529+0.2774816814830006*I,0.11958778874059653-0.34256998136876604*I
-0.09632186241072747+0.2683586091009166*I,0.12040232951843848-0.3354482655692491*I
-0.09574001645721594+0.25965131995866486*I,0.12118989578368976-0.3286725610701145*I
-0.09512333162070684+0.25132360922622526*I,0.12195299082081634-0.3222097595491319*I
-0.09447424658301992+0.24334393511903377*I,0.12269382832462106-0.3160310886744736*I
-0.09379492448648126+0.2356846474348347*I,0.12341437594819082-0.3101113822841428*I
-0.09308729194974047+0.22832137018843443*I,0.12411639092120584-0.3044284976436259*I
-0.09235307132658707+0.2212325027123163*I,0.12480144942513727-0.2989628455431686*I
-0.09159380757746105+0.21439881286923756*I,0.12547097100297366-0.2936970079537091*I
-0.0908108908093199+0.20780310263560986*I,0.12612623898691985-0.2886154243357835*I
-0.09000557530150886+0.20142993108971932*I,0.12676841770308878-0.28370413229121216*I
-0.08917899566057878+0.19526538334100738*I,0.1273985670493778-0.2789505516150184*I
-0.08833218061221178+0.18929687652626584*I,0.12801765491650482-0.27434330328941864*I
-0.08746606483573074+0.1835129959419365*I,0.12862656782646534-0.2698720568244957*I
-0.08658149916712461+0.17790335585184144*I,0.12922612008863554-0.26552740075688874*I
-0.08567925943443765+0.17245848063340288*I,0.12981706171607313-0.2613007321915306*I
-0.08476005414052987+0.1671697027919829*I,0.13040008529927805-0.25718416209819156*I
-0.08382453116951799+0.16202907504683683*I,0.13097583199886925-0.2531704337164706*I
-0.08287328366228287+0.15702929422029682*I,0.13154489679005055-0.2492528519251196*I
-0.08190685518163464+0.15216363507878894*I,0.1321078330688919-0.24542522182748575*I
-0.08092574426763502+0.14742589260579542*I,0.13266515671194523-0.24168179511903834*I
-0.07993040846726777+0.14281033145215688*I,0.13321734966573548-0.23801722305388187*I
-0.07892126790929782+0.13831164152273118*I,0.13376486313041774-0.23442651502880735*I
-0.07789870848416088+0.13392489883146252*I,0.1343081203917967-0.23090500196640096*I
-0.07686308467990076+0.12964553089763442*I,0.13484751934802802-0.22744830381073242*I
-0.07581472211689386+0.1254692860721428*I,0.13538343476915754-0.22405230055833186*I
-0.0747539198191741+0.12139220627604404*I,0.13591622032424786-0.2207131063330457*I
-0.07368095225348524+0.11741060271466823*I,0.13644621040360622-0.21742704609062727*I
-0.07259607116370086+0.11352103419268787*I,0.13697372176120395-0.21419063459357404*I
-0.07149950722419583+0.10972028771275844*I,0.13749905499843537-0.21100055735146925*I
-0.07039147153264697+0.10600536108430397*I,0.13802249590759202-0.2078536532604716*I
-0.06927215696006216+0.10237344730799595*I,0.13854431669101067-0.2047468987109299*I
-0.06814173937354866+0.09882192053383261*I,0.13906477706978865-0.20167739296042153*I
-0.06700037874537337+0.0953483234182635*I,0.13958412529419717-0.19864234459309785*I
-0.0658482201601895+0.09195035572926989*I,0.14010259906641595-0.19563905890566063*I
-0.06468539473085241+0.08862586406838568*I,0.14062042638490585-0.19266492607616295*I
-0.06351202043201103+0.085372832595918*I,0.14113782631864288-0.18971740998464917*I
-0.062328202859557064+0.08218937466050155*I,0.1416550097184254-0.18679403756464077*I
-0.06113403592309945+0.07907372524708187*I,0.14217217987167735-0.18389238857210646*I
-0.05992960247779716+0.07602423416868799*I,0.1426895331064107-0.18101008566378296*I
-0.05871497490117697+0.07303935993727204*I,0.1432072593493892-0.1781447846798046*I
-0.057490215619936176+0.07011766425765942*I,0.14372554264297902-0.1752941650265027*I
-0.056255377591162996+0.06725780709649805*I,0.14424456162463747-0.17245592005399296*I
-0.055010504742078074+0.06445854228493474*I,0.1447644899729552-0.1696277473189795*I
-0.05375563237149159+0.06171871362084325*I,0.14528549682255829-0.16680733861869365*I
-0.05249078751665707+0.05903725144118873*I,0.14580774715204042-0.16399236966975678*I
-0.051215989287949515+0.056413169641980246*I,0.14633140214646728-0.161180489296529*I
-0.049931249174097296+0.053845563127818484*I,0.1468566195372456-0.15836930797503404*I
-0.04863657132022134+0.05133360567862164*I,0.14738355392138452-0.15555638555813792*I
-0.047331952780734474+0.04887654822630347*I,0.14791235706205644-0.15273921798029894*I
-0.046017383748948176+0.04647371753987705*I,0.14844317817219346-0.14991522270654611*I
-0.04469284776504577+0.044124515322874376*I,0.14897616418269144-0.14708172264563873*I
-0.043358321903917106+0.041828417733731416*I,0.14951145999666107-0.1442359281934162*I
-0.04201377694419757+0.03958497534660022*I,0.1500492087310345-0.14137491700124785*I
-0.040659177519721305+0.037393813578267356*I,0.150589551946729-0.13849561097490173*I
-0.03929448225447554+0.03525463361635712*I,0.15113262986846865-0.13559474989347933*I
-0.03791964388203399+0.03316721389536725*I,0.15167858159527925-0.13266886088822344*I
-0.03653460935034552+0.03113141218093053*I,0.15222754530258742-0.1297142228253032*I
-0.03513931991266623+0.02914716833983151*I,0.1527796584367949-0.12672682437869462*I
-0.0337337112053367+0.02721450789484374*I,0.15333505790312404-0.1237023142357586*I
-0.03231771331303317+0.02533354649093571*I,0.15389388024748563-0.12063594141569112*I
-0.030891250822050353+0.02350449543494255*I,0.15445626183306493-0.11752248305083697*I
