-0.08549675405485883+0.1713885014446247*I,0.12993427865380186-0.2604688511387739*I
-0.08540524863459435+0.1708558318643461*I,0.12999277006776572-0.26005454256452293*I
-0.08531357561159995+0.17032469812333523*I,0.1300511843172436-0.2596413120727871*I
-0.08522173564171998+0.16979509218098293*I,0.13010952205009957-0.2592291523256099*I
-0.085129729374994+0.1692670060653464*I,0.13016778390928416-0.25881805604514824*I
-0.08503755745571566+0.16874043187238527*I,0.13022597053288726-0.258408016012964*I
-0.08494522052249087+0.1682153617652107*I,0.13028408255418972-0.25799902506932665*I
-0.084852719208295+0.1676917879733434*I,0.13034212060171463-0.25759107611252563*I
-0.08476005414052987+0.1671697027919829*I,0.13040008529927805-0.25718416209819156*I
-0.08466722594107928+0.16664909858128604*I,0.13045797726603864-0.25677827603862685*I
-0.08457423522636441+0.1661299677656575*I,0.1305157971165469-0.25637341100214756*I
-0.08448108260739828+0.16561230283304756*I,0.13057354546079403-0.2559695601124315*I
-0.08438776868983947+0.16509609633426137*I,0.1306312229042596-0.255566716547877*I
-0.08429429407404548+0.16458134088227758*I,0.13068883004795936-0.25516487354097106*I
-0.08420065935512473+0.16406802915157592*I,0.13074636748849133-0.2547640243776649*I
-0.08410686512298884+0.1635561538774736*I,0.13080383581808275-0.25436416239675774*I
-0.08401291196240326+0.1630457078554723*I,0.13086123562463492-0.25396528098929144*I
-0.08391880045303812+0.16253668394061233*I,0.1309185674917688-0.2535673735979502*I
-0.08382453116951799+0.16202907504683683*I,0.13097583199886925-0.2531704337164706*I
-0.08373010468147085+0.16152287414636415*I,0.13103302972112857-0.25277445488905903*I
-0.08363552155357708+0.16101807426906847*I,0.13109016122959044-0.2523794307098163*I
-0.08354078234561715+0.16051466850186946*I,0.1311472270911922-0.25198535482217116*I
-0.08344588761251927+0.16001264998812947*I,0.13120422786880748-0.2515922209183203*I
-0.08335083790440584+0.15951201192705963*I,0.13126116412128738-0.251200022738677*I
-0.0832556337666402+0.15901274757313252*I,0.13131803640350248-0.250808754071325*I
-0.08316027573987173+0.15851485023550468*I,0.1313748452663826-0.2504184087514831*I
-0.08306476436008148+0.15801831327744506*I,0.1314315912569579-0.2500289806609729*I
-0.08296910015862623+0.15752313011577185*I,0.13148827491839776-0.24964046372769652*I
-0.08287328366228287+0.15702929422029682*I,0.13154489679005055-0.2492528519251196*I
-0.08277731539329174+0.15653679911327686*I,0.13160145740748222-0.24886613927176193*I
-0.08268119586939945+0.1560456383688727*I,0.1316579573025144-0.24848031983069413*I
-0.0825849256039014+0.15555580561261484*I,0.13171439700326218-0.24809538770904102*I
-0.08248850510568367+0.15506729452087673*I,0.13177077703417164-0.24771133705749218*I
-0.08239193487926445+0.1545800988203542*I,0.1318270979160567-0.24732816206981734*I
-0.08229521542483471+0.15409421228755246*I,0.13188336016613514-0.2469458569823895*I
-0.082198347238299+0.1536096287482792*I,0.13193956429806525-0.24656441607371327*I
-0.0821013308113149+0.15312634207714446*I,0.13199571082198075-0.24618383366395952*I
-0.08200416663133278+0.15264434619706754*I,0.13205180024452623-0.2458041041145066*I
-0.08190685518163464+0.15216363507878894*I,0.1321078330688919-0.24542522182748575*I
-0.08180939694137253+0.15168420274039032*I,0.13216380979484754-0.24504718124533464*I
-0.08171179238560676+0.15120604324681894*I,0.1322197309187768-0.2446699768503539*I
-0.08161404198534336+0.15072915070941956*I,0.13227559693371044-0.24429360316427165*I
-0.08151614620757124+0.15025351928547165*I,0.1323314083293593-0.24391805474781203*I
-0.08141810551529886+0.14977914317773255*I,0.1323871655921472-0.24354332620026964*I
-0.08131992036759059+0.1493060166339866*I,0.13244286920524315-0.24316941215908916*I
-0.08122159121960247+0.14883413394660017*I,0.13249851964859327-0.24279630729945068*I
-0.08112311852261751+0.14836348945208175*I,0.13255411739895212-0.2424240063338592*I
-0.08102450272408107+0.14789407753064787*I,0.1326096629299144-0.24205250401173967*I
-0.08092574426763502+0.14742589260579542*I,0.13266515671194523-0.24168179511903834*I
-0.08082684359315213+0.14695892914387754*I,0.13272059921241072-0.24131187447782645*I
-0.08072780113676988+0.1464931816536864*I,0.1327759908956082-0.24094273694591087*I
-0.08062861733092383+0.1460286446860405*I,0.13283133222279597-0.24057437741644855*I
-0.08052929260438055+0.1455653128333771*I,0.13288662365222242-0.24020679081756602*I
-0.08042982738227031+0.14510318072935022*I,0.13294186563915533-0.23983997211198338*I
-0.08033022208611941+0.1446422430484329*I,0.1329970586359106-0.23947391629664252*I
-0.08023047713388196+0.14418249450552517*I,0.1330522030918806-0.23910861840234057*I
-0.08013059293997138+0.1437239298555663*I,0.1331072994535621-0.2387440734933672*I
-0.08003056991529156+0.14326654389315208*I,0.1331623481645841-0.23838027666714617*I
-0.07993040846726777+0.14281033145215688*I,0.13321734966573548-0.23801722305388187*I
-0.07983010899987689+0.14235528740536013*I,0.13327230439499155-0.23765490781620904*I
-0.07972967191367772+0.14190140666407752*I,0.13332721278754156-0.2372933261488475*I
-0.0796290976058406+0.1414486841777968*I,0.13338207527581467-0.23693247327826053*I
-0.07952838647017693+0.14099711493381797*I,0.13343689228950648-0.23657234446231787*I
-0.07942753889716808+0.1405466939568975*I,0.1334916642556046-0.23621293498996113*I
-0.07932655527399436+0.1400974163088976*I,0.13354639159841464-0.23585424018087545*I
-0.07922543598456325+0.13964927708843905*I,0.13360107473958516-0.23549625538516292*I
-0.07912418140953764+0.1392022714305585*I,0.1336557140981331-0.23513897598302075*I
-0.07902279192636355+0.1387563945063702*I,0.13371031009046813-0.23478239738442333*I
-0.07892126790929782+0.13831164152273118*I,0.13376486313041774-0.23442651502880735*I
-0.07881960972943493+0.13786800772191107*I,0.13381937362925073-0.23407132438476116*I
-0.07871781775473402+0.13742548838126525*I,0.13387384199570146-0.23371682094971682*I
-0.07861589235000009+0.13698407881294972*I,0.13392826863591617-0.23336300024970993*I
-0.07851383387709451+0.13654377436345233*I,0.13398265395379022-0.2330098578388241*I
-0.07841164269468097+0.1361045704135052*I,0.13403699835051447-0.23265738929928054*I
-0.07830931915844029+0.13566646237761984*I,0.13409130222492008-0.23230559024088315*I
-0.07820686362104796+0.13522944570381934*I,0.1341455659734196-0.23195445630079572*I
-0.07810427643219915+0.1347935158733334*I,0.13419978999002932-0.23160398314325303*I
-0.07800155793863378+0.1343586684002989*I,0.1342539746663916-0.23125416645927804*I
-0.07789870848416088+0.13392489883146252*I,0.1343081203917967-0.23090500196640096*I
-0.07779572840968306+0.13349220274588827*I,0.13436222755320437-0.2305564854083819*I
-0.07769261805322056+0.13306057575466665*I,0.13441629653526563-0.23020861255493563*I
-0.07758937774993496+0.1326300135006294*I,0.13447032772034356-0.2298613792014613*I
-0.07748600783215269+0.13220051165806526*I,0.13452432148853458-0.22951478116877272*I
-0.0773825086293884+0.13177206593244134*I,0.13457827821768903-0.2291688143028339*I
-0.07727888046836795+0.13134467206012543*I,0.13463219828343195-0.22882347447449514*I
-0.07717512367305115+0.13091832580811388*I,0.1346860820591832-0.22847875757923466*I
-0.07707123856465416+0.1304930229737604*I,0.1347399299161774-0.22813465953690037*I
-0.07696722546167209+0.13006875938451007*I,0.13479374222348425-0.22779117629145682*I
-0.07686308467990076+0.12964553089763442*I,0.13484751934802802-0.22744830381073242*I
-0.07675881653245858+0.12922333339997125*I,0.13490126165460667-0.22710603808617155*I
-0.07665442132980824+0.12880216280766638*I,0.13495496950591188-0.2267643751325883*I
-0.0765498993797778+0.128382015065919*I,0.13500864326254713-0.22642331098792262*I
-0.076445250987582+0.12796288614872942*I,0.13506228328304742-0.22608284171299975*I
-0.07634047645584317+0.12754477205865006*I,0.13511588992389748-0.2257429633912915*I
-0.07623557608461175+0.12712766882653895*I,0.13516946353955034-0.2254036721286803*I
-0.07613055017138681+0.12671157251131668*I,0.13522300448244556-0.22506496405322612*I
-0.07602539901113615+0.12629647919972517*I,0.1352765131030272-0.22472683531493512*I
-0.07592012289631675+0.12588238500615037*I,0.1353299897497623-0.22438928208563846*I
-0.07581472211689386+0.1254692860721428*I,0.13538343476915754-0.22405230055833186*I
-0.07570919696036117+0.1250571785665554*I,0.13543684850577756-0.22371588694761052*I
-0.07560354771176009+0.12464605868506319*I,0.1354902313022624-0.22338003748900284*I
-0.07549777465369868+0.12423592264999954*I,0.13554358349934384-0.2230447484388636*I
-0.0753918780663709+0.1238267667101312*I,0.13559690543586325-0.22271001607415716*I
-0.07528585822757529+0.12341858714043585*I,0.13565019744878787-0.22237583669224184*I
-0.07517971541273352+0.12301138024188224*I,0.13570345987322768-0.22204220661065763*I
-0.07507344989490886+0.1226051423412131*I,0.1357566930424517-0.2217091221669156*I
-0.07496706194482429+0.12219986979072937*I,0.1358098972879045-0.2213765797182884*I
-0.07486055183088057+0.12179555896807863*I,0.13586307293922195-0.22104457564160507*I
-0.0747539198191741+0.12139220627604404*I,0.13591622032424786-0.2207131063330457*I
-0.07464716617351455+0.12098980814233687*I,0.1359693397690491-0.22038216820793907*I
-0.07454029115544214+0.1205883610193907*I,0.1360224315979315-0.2200517577005626*I
-0.07443329502424513+0.12018786138415848*I,0.13607549613345538-0.21972187126394369*I
-0.07432617803697693+0.11978830573791066*I,0.13612853369645106-0.21939250536966254*I
-0.07421894044847284+0.11938969060603735*I,0.13618154460603354-0.21906365650765858*I
-0.07411158251136685+0.11899201253785065*I,0.13623452917961792-0.21873532118603656*I
-0.07400410447610845+0.11859526810639087*I,0.1362874877329343-0.2184074959308763*I
-0.07389650659097861+0.11819945390823373*I,0.13634042058004214-0.21808017728604343*I
-0.07378878910210655+0.1178045665633002*I,0.13639332803334536-0.2177533618130015*I
-0.07368095225348524+0.11741060271466823*I,0.13644621040360622-0.21742704609062727*I
-0.07357299628698773+0.117017559028387*I,0.13649906799995995-0.21710122671502646*I
-0.0734649214423827+0.11662543219329172*I,0.13655190112992888-0.21677590029935084*I
-0.07335672795735028+0.11623421892082292*I,0.13660471009943648-0.21645106347361928*I
-0.07324841606749709+0.11584391594484507*I,0.136657495212821-0.21612671288453775*I
-0.07313998600637185+0.11545452002146925*I,0.1367102567728494-0.2158028451953228*I
-0.0730314380054804+0.11506602792887625*I,0.13676299508073103-0.21547945708552593*I
-0.07292277229430058+0.11467843646714274*I,0.13681571043613075-0.21515654525085964*I
-0.07281398910029717+0.11429174245806811*I,0.13686840313718274-0.21483410640302483*I
-0.07270508864893648+0.11390594274500467*I,0.13692107348050322-0.21451213726954058*I
-0.07259607116370086+0.11352103419268787*I,0.13697372176120395-0.21419063459357404*I
-0.07248693686610322+0.11313701368707042*I,0.1370263482729049-0.21386959513377388*I
-0.07237768597570098+0.1127538781351559*I,0.13707895330774722-0.21354901566410245*I
-0.07226831871011055+0.11237162446483644*I,0.13713153715640594-0.21322889297367242*I
-0.07215883528502086+0.11199024962473017*I,0.13718410010810242-0.2129092238665826*I
-0.07204923591420745+0.11160975058402188*I,0.1372366424506169-0.21259000516175608*I
-0.07193952080954599+0.11123012433230417*I,0.13728916447030087-0.21227123369277964*I
-0.07182969018102606+0.1108513678794215*I,0.13734166645208934-0.21195290630774488*I
-0.07171974423676407+0.11047347825531484*I,0.1373941486795126-0.21163501986909017*I
-0.07160968318301718+0.11009645250986844*I,0.13744661143470882-0.21131757125344366*I
-0.07149950722419583+0.10972028771275844*I,0.13749905499843537-0.21100055735146925*I
-0.07138921656287711+0.10934498095330263*I,0.13755147965008074-0.21068397506771172*I
-0.07127881139981755+0.10897052934031184*I,0.13760388566767648-0.21036782132044415*I
-0.0711682919339658+0.10859693000194372*I,0.1376562733279082-0.2100520930415177*I
-0.07105765836247535+0.10822418008555638*I,0.1377086429061275-0.2097367871762098*I
-0.07094691088071703+0.10785227675756558*I,0.13776099467636307-0.20942190068307687*I
-0.07083604968229132+0.10748121720330166*I,0.13781332891133194-0.2091074305338054*I
-0.07072507495904069+0.10711099862686937*I,0.1378656458824506-0.2087933737130665*I
-0.0706139869010616+0.1067416182510081*I,0.13791794585984585-0.20847972721836988*I
-0.07050278569671685+0.10637307331695395*I,0.13797022911236623-0.20816648805991944*I
-0.07039147153264697+0.10600536108430397*I,0.13802249590759202-0.2078536532604716*I
-0.07028004459378252+0.10563847883088029*I,0.13807474651184676-0.20754121985519156*I
-0.07016850506335545+0.10527242385259723*I,0.13812698119020722-0.20722918489151396*I
-0.07005685312291077+0.10490719346332872*I,0.13817920020651436-0.20691754542900234*I
-0.0699450889523179+0.10454278499477761*I,0.13823140382338328-0.20660629853921067*I
-0.0698332127297823+0.10417919579634612*I,0.13828359230221432-0.2062954413055456*I
-0.06972122463185626+0.10381642323500796*I,0.13833576590320223-0.20598497082313033*I
-0.06960912483345034+0.1034544646951815*I,0.13838792488534712-0.2056748841986687*I
-0.06949691350784433+0.10309331757860367*I,0.1384400695064642-0.2053651785503097*I
-0.06938459082669803+0.10273297930420715*I,0.13849220002319368-0.2050558510075163*I
-0.06927215696006216+0.10237344730799595*I,0.13854431669101067-0.2047468987109299*I
-0.06915961207638915+0.10201471904292499*I,0.1385964197642352-0.20443831881224087*I
-0.06904695634254346+0.10165679197877907*I,0.1386485094960413-0.20413010847405655*I
-0.06893418992381233+0.10129966360205421*I,0.1387005861384672-0.20382226486977237*I
-0.06882131298391606+0.1009433314158393*I,0.13875264994242453-0.20351478518344188*I
-0.0687083256850183+0.10058779293970001*I,0.13880470115770774-0.20320766660964987*I
-0.06859522818773632+0.10023304570956258*I,0.1388567400330035-0.20290090635338393*I
-0.06848202065115098+0.0998790872776005*I,0.13890876681589992-0.2025945016299098*I
-0.06836870323281692+0.09952591521212059*I,0.13896078175289583-0.20228844966464452*I
-0.0682552760887723+0.09917352709745143*I,0.1390127850894097-0.20198274769303243*I
-0.06814173937354866+0.09882192053383261*I,0.13906477706978865-0.20167739296042153*I
-0.06802809324018068+0.09847109313730494*I,0.1391167579373175-0.20137238272194025*I
-0.06791433784021578+0.09812104253960209*I,0.1391687279342276-0.20106771424237552*I
-0.06780047332372362+0.09777176638804311*I,0.13922068730170534-0.20076338479605127*I
-0.06768649983930565+0.0974232623454259*I,0.13927263627990127-0.20045939166670748*I
-0.06757241753410441+0.09707552808992241*I,0.1393245751079385-0.20015573214738092*I
-0.06745822655381273+0.09672856131497425*I,0.13937650402392102-0.19985240354028574*I
-0.06734392704268302+0.09638235972918958*I,0.13942842326494256-0.1995494031566949*I
-0.06722951914353636+0.09603692105624137*I,0.1394803330670948-0.19924672831682297*I
-0.06711500299777136+0.09569224303476595*I,0.13953223366547549-0.19894437634970838*I
-0.06700037874537337+0.0953483234182635*I,0.13958412529419717-0.19864234459309785*I
-0.06688564652492297+0.0950051599749989*I,0.1396360081863947-0.19834063039333033*I
-0.06677080647360509+0.09466275048790398*I,0.13968788257423415-0.1980392311052224*I
-0.06665585872721738+0.09432109275448033*I,0.13973974868892008-0.19773814409195345*I
-0.06654080342017973+0.0939801845867046*I,0.13979160676070548-0.19743736672495438*I
-0.06642564068553976+0.09364002381092958*I,0.13984345701889334-0.19713689638378643*I
-0.06631037065498575+0.09330060826779624*I,0.13989529969185394-0.19683673045604125*I
-0.06619499345885198+0.09296193581213631*I,0.13994713500702607-0.19653686633721984*I
-0.06607950922612774+0.0926240043128817*I,0.13999896319092664-0.19623730143062443*I
-0.0659639180844656+0.0922868116529731*I,0.14005078446915808-0.19593803314724723*I
-0.0658482201601895+0.09195035572926989*I,0.14010259906641595-0.19563905890566063*I
-0.06573241557830277+0.09161463445246075*I,0.1401544072064965-0.1953403761319073*I
-0.06561650446249619+0.09127964574697557*I,0.14020620911230403-0.1950419822593919*I
-0.06550048693515576+0.09094538755089737*I,0.14025800500585828-0.19474387472877117*I
-0.06538436311737074+0.09061185781587652*I,0.14030979510830194-0.19444605098784776*I
-0.06526813312894117+0.09027905450704432*I,0.14036157963990747-0.19414850849146112*I
-0.06515179708838567+0.08994697560292868*I,0.14041335882008463-0.19385124470138176*I
-0.06503535511294911+0.08961561909536996*I,0.1404651328673876-0.1935542570862042*I
-0.0649188073186101+0.08928498298943771*I,0.14051690199952194-0.1932575431212406*I
-0.0648021538200884+0.08895506530334875*I,0.14056866643335159-0.19296110028841598*I
-0.06468539473085241+0.08862586406838568*I,0.14062042638490585-0.19266492607616295*I
-0.06456853016312655+0.08829737732881598*I,0.14067218206938648-0.1923690179793163*I
-0.06445156022789837+0.08796960314181264*I,0.14072393370117406-0.19207337349900958*I
-0.06433448503492589+0.08764253957737499*I,0.14077568149383526-0.1917779901425709*I
-0.06421730469274473+0.0873161847182508*I,0.14082742566012937-0.19148286542341988*I
-0.0641000193086751+0.08699053665985854*I,0.14087916641201487-0.19118799686096377*I
-0.0639826289888289+0.08666559351021147*I,0.14093090396065627-0.19089338198049627*I
-0.06386513383811668+0.08634135338984102*I,0.14098263851643064-0.1905990183130932*I
-0.0637475339602542+0.08601781443172282*I,0.14103437028893345-0.19030490339551298*I
-0.06362982945776993+0.08569497478120143*I,0.14108609948698655-0.19001103477009268*I
-0.06351202043201103+0.085372832595918*I,0.14113782631864288-0.18971740998464917*I
-0.06339410698315051+0.08505138604573638*I,0.14118955099119385-0.18942402659237564*I
-0.06327608921019386+0.08473063331267248*I,0.14124127371117545-0.18913088215174403*I
-0.06315796721098532+0.08441057259082187*I,0.14129299468437423-0.18883797422640186*I
-0.06303974108221472+0.08409120208629006*I,0.1413447141158338-0.18854530038507417*I
-0.06292141091942376+0.08377252001712246*I,0.14139643220986087-0.18825285820146306*I
-0.06280297681701244+0.08345452461323569*I,0.1414481491700314-0.187960645254149*I
-0.06268443886824537+0.0831372141163485*I,0.14149986519919647-0.18766865912649008*I
-0.0625657971652581+0.08282058677991527*I,0.14155158049948852-0.1873768974065255*I
-0.06244705179906334+0.08250464086905815*I,0.14160329527232723-0.1870853576868747*I
-0.062328202859557064+0.08218937466050155*I,0.1416550097184254-0.18679403756464077*I
-0.06220925043552464+0.08187478644250601*I,0.14170672403779475-0.18650293464131065*I
-0.06209019461464695+0.0815608745148041*I,0.14175843842975194-0.18621204652265885*I
-0.06197103548350623+0.08124763718853543*I,0.14181015309292397-0.18592137081864796*I
-0.061851773127592255+0.08093507278618389*I,0.14186186822525448-0.1856309051433325*I
-0.061732407631307995+0.08062317964151458*I,0.14191358402400886-0.1853406471147611*I
-0.06161293907797557+0.08031195609951143*I,0.14196530068578017-0.18505059435487878*I
-0.06149336754984214+0.08000140051631613*I,0.142017018406495-0.18476074448943094*I
-0.06137369312808527+0.07969151125916678*I,0.1420687373814182-0.18447109514786517*I
-0.06125391589281907+0.07938228670633816*I,0.1421204578051593-0.18418164396323577*I
-0.06113403592309945+0.07907372524708187*I,0.14217217987167735-0.18389238857210646*I
-0.061014053296929965+0.07876582528156749*I,0.14222390377428676-0.18360332661445403*I
-0.06089396809126716+0.07845858522082413*I,0.14227562970566232-0.18331445573357177*I
-0.06077378038202614+0.07815200348668302*I,0.1423273578578448-0.18302577357597372*I
-0.06065349024408604+0.07784607851172005*I,0.14237908842224634-0.18273727779129778*I
-0.0605330977512952+0.07754080873919958*I,0.14243082158965514-0.18244896603221003*I
-0.06041260297647679+0.07723619262301862*I,0.14248255755024147-0.18216083595430896*I
-0.060292005991433834+0.07693222862765123*I,0.14253429649356217-0.18187288521602857*I
-0.06017130686695454+0.0766289152280943*I,0.14258603860856617-0.18158511147854364*I
-0.06005050567281762+0.07632625090981306*I,0.14263778408359967-0.18129751240567266*I
-0.05992960247779716+0.07602423416868799*I,0.1426895331064107-0.18101008566378296*I
-0.05980859734966799+0.07572286351096148*I,0.14274128586415477-0.18072282892169397*I
-0.05968749035521052+0.07542213745318598*I,0.1427930425433994-0.18043573985058226*I
-0.05956628156021584+0.07512205452217179*I,0.1428448033301292-0.18014881612388478*I
-0.059444971029490735+0.07482261325493632*I,0.142896568409751-0.17986205541720404*I
-0.05932355882686247+0.07452381219865306*I,0.14294833796709844-0.17957545540821113*I
-0.05920204501518379+0.07422564991060178*I,0.143000112186437-0.17928901377655054*I
-0.05908042965633758+0.07392812495811885*I,0.1430518912514685-0.17900272820374366*I
-0.05895871281124182+0.07363123591854873*I,0.14310367534533636-0.17871659637309392*I
-0.058836894539854225+0.07333498137919468*I,0.14315546465062987-0.17843061596958842*I
-0.05871497490117697+0.07303935993727204*I,0.1432072593493892-0.1781447846798046*I
-0.05859295395326138+0.07274437019985991*I,0.14325905962310997-0.17785910019181153*I
-0.05847083175321246+0.07245001078385485*I,0.14331086565274784-0.17757356019507464*I
-0.058348608357193535+0.07215628031592468*I,0.14336267761872312-0.17728816238035947*I
-0.05822628382043072+0.07186317743246268*I,0.14341449570092532-0.1770029044396348*I
-0.058103858197217514+0.07157070077954211*I,0.14346632007871782-0.1767177840659752*I
-0.05798133154091913+0.0712788490128719*I,0.1435181509309422-0.1764327989534651*I
-0.05785870390397702+0.07098762079775243*I,0.14356998843592286-0.1761479467971015*I
-0.057735975337913054+0.07069701480903172*I,0.14362183277147111-0.17586322529269646*I
-0.05761314589333411+0.0704070297310625*I,0.14367368411489018-0.1755786321367801*I
-0.057490215619936176+0.07011766425765942*I,0.14372554264297902-0.1752941650265027*I
-0.05736718456650868+0.06982891709205681*I,0.14377740853203702-0.1750098216595364*I
-0.05724405278093859+0.06954078694686767*I,0.14382928195786787-0.17472559973397908*I
-0.0571208203102148+0.0692532725440417*I,0.14388116309578447-0.17444149694825362*I
-0.05699748720043214+0.06896637261482536*I,0.1439330521206128-0.1741575110010113*I
-0.056874053496795474+0.06868008589972122*I,0.14398494920669613-0.17387363959103194*I
-0.0567505192436237+0.06839441114844887*I,0.1440368545278991-0.17358988041712609*I
-0.05662688448435393+0.06810934711990506*I,0.14408876825761224-0.17330623117803404*I
-0.056503149261545454+0.06782489258212579*I,0.14414069056875603-0.1730226895723283*I
-0.05637931361688356+0.0675410463122474*I,0.1441926216337846-0.17273925329831188*I
-0.056255377591162996+0.06725780709649805*I,0.14424456162463747-0.17245592005399296*I
-0.056131341224375186+0.0669751737300441*I,0.14429651071295707-0.17217268753668633*I
-0.05600720455558543+0.06669314501712974*I,0.14434846906976836-0.17188955344336412*I
-0.05588296762302227+0.06641171977092145*I,0.14440043686570192-0.17160651547024963*I
-0.055758630464059544+0.06613089681350277*I,0.14445241427094221-0.17132357131279402*I
-0.05563419311522024+0.06585067497583832*I,0.14450440145523186-0.17104071866557277*I
-0.05550965561218003+0.0655710530977395*I,0.14455639858787506-0.17075795522218504*I
-0.05538501798977117+0.06529203002782955*I,0.14460840583774212-0.1704752786751497*I
-0.055260280281985964+0.06501360462350966*I,0.14466042337327278-0.17019268671580245*I
-0.05513544252198049+0.0647357757509257*I,0.14471245136248034-0.16991017703419287*I
-0.055010504742078074+0.06445854228493474*I,0.1447644899729552-0.1696277473189795*I
-0.05488546697377295+0.06418190310907271*I,0.144816539371869-0.1693453952573263*I
-0.054760329247733705+0.06390585711552209*I,0.14486859972597807-0.16906311853479705*I
-0.05463509159380675+0.06363040320508005*I,0.14492067120162724-0.1687809148352499*I
-0.054509754041019834+0.06335554028712727*I,0.14497275396475368-0.16849878184073164*I
-0.05438431661758543+0.06308126727959726*I,0.14502484818089045-0.16821671723137183*I
-0.05425877935090409+0.06280758310894548*I,0.14507695401517015-0.16793471868527451*I
-0.05413314226756782+0.0625344867101198*I,0.14512907163232852-0.1676527838784119*I
-0.054007405393363475+0.06226197702653063*I,0.14518120119670833-0.16737091048451544*I
-0.053881568753275995+0.061990053010022125*I,0.1452333428722626-0.16708909617496792*I
-0.05375563237149159+0.06171871362084325*I,0.14528549682255829-0.16680733861869365*I
-0.05362959627140116+0.0614479578276196*I,0.14533766321077995-0.16652563548204868*I
-0.053503460475603344+0.06117778460732556*I,0.14538984219973308-0.16624398442871036*I
-0.05337722500590778+0.06090819294525698*I,0.14544203395184777-0.16596238311956626*I
-0.05325088988333824+0.060639181835004365*I,0.14549423862918207-0.1656808292126029*I
-0.05312445512813574+0.06037075027842593*I,0.1455464563934255-0.16539932036279217*I
-0.05299792075976153+0.06010289728562186*I,0.14559868740590223-0.16511785422197917*I
-0.0528712867969004+0.0598356218749084*I,0.14565093182757502-0.16483642843876775*I
-0.0527445532574635+0.05956892307279261*I,0.1457031898190481-0.16455504065840615*I
-0.0526177201585914+0.059302799913947865*I,0.1457554615405707-0.16427368852267246*I
-0.05249078751665707+0.05903725144118873*I,0.14580774715204042-0.16399236966975678*I
-0.0523637553472689+0.05877227670544766*I,0.14586004681300663-0.1637110817341462*I
-0.052236623665273554+0.05850787476575095*I,0.14591236068267366-0.1634298223465061*I
-0.05210939248475875+0.05824404468919588*I,0.14596468891990377-0.16314858913356242*I
-0.05198206181905644+0.05798078555092751*I,0.14601703168322125-0.16286737971798124*I
-0.051854631680745354+0.05771809643411684*I,0.1460693891308148-0.16258619171825006*I
-0.05172710208165395+0.057455976429938584*I,0.14612176142054117-0.162305022748556*I
-0.05159947303286319+0.057194424637549535*I,0.1461741487099283-0.1620238704186636*I
-0.051471744544709264+0.05693344016406784*I,0.14622655115617836-0.1617427323337931*I
-0.05134391662678641+0.05667302212455185*I,0.14627896891617126-0.1614616060944955*I
-0.051215989287949515+0.056413169641980246*I,0.14633140214646728-0.161180489296529*I
-0.051087962536316894+0.056153881847231864*I,0.14638385100331064-0.16089937953073258*I
-0.050959836379272906+0.055895157879066355*I,0.1464363156426324-0.16061827438289975*I
-0.050831610823470603+0.0556369968841051*I,0.14648879622005354-0.1603371714336508*I
-0.050703285874834345+0.055379398016812555*I,0.1465412928908881-0.16005606825830418*I
-0.05057486153856234+0.05512236043947769*I,0.1465938058101461-0.15977496242674588*I
-0.05044633781912927+0.05486588332219706*I,0.14664633513253672-0.15949385150330112*I
-0.050317714720288835+0.05460996584285624*I,0.1466988810124713-0.15921273304659936*I
-0.05018899224507618+0.054354607187113484*I,0.14675144360406617-0.1589316046094431*I
-0.05006017039581048+0.05409980654838288*I,0.14680402306114582-0.15865046373867311*I
-0.049931249174097296+0.053845563127818484*I,0.1468566195372456-0.15836930797503404*I
-0.04980222858083118+0.05359187613431294*I,0.1469092331856151-0.15808813485308054*I
-0.0496731086161979+0.05333874478442169*I,0.14696186415922058-0.1578069419008613*I
-0.04954388927967703+0.05308616830244013*I,0.14701451261074827-0.15752572664005166*I
-0.04941457057004409+0.05283414592032707*I,0.14706717869260683-0.1572444865856308*I
-0.0492851524853732+0.052582676877705695*I,0.14711986255693085-0.15696321924578477*I
-0.04915563502303911+0.052331760421850296*I,0.14717256435558312-0.15668192212176507*I
-0.049026018179719674+0.05208139580767279*I,0.14722528424015774-0.15640059270774395*I
-0.04889630195139807+0.05183158229770985*I,0.14727802236198284-0.15611922849066912*I
-0.04876648633336507+0.051582319162109876*I,0.14733077887212348-0.15583782695011528*I
-0.04863657132022134+0.05133360567862164*I,0.14738355392138452-0.15555638555813792*I
-0.04850655690587952+0.05108544113258192*I,0.1474363476603131-0.15527490177912143*I
-0.04837644308356657+0.050837824816904464*I,0.14748916023920178-0.15499337306962868*I
-0.048246229845825814+0.05059075603206897*I,0.14754199180809097-0.15471179687824757*I
-0.048115917184519186+0.05034423408611091*I,0.14759484251677185-0.15443017064543751*I
-0.047985505090829245+0.05009825829461076*I,0.14764771251478886-0.15414849180337137*I
-0.04785499355526144+0.049852827980685264*I,0.14770060195144283-0.15386675777578043*I
-0.04772438256764611+0.04960794247497715*I,0.1477535109757933-0.15358496597779203*I
-0.0475936721171405+0.049363601115647394*I,0.14780643973666122-0.15330311381577189*I
-0.04746286219223086+0.04911980324836576*I,0.14785938838263163-0.15302119868715813*I
-0.047331952780734474+0.04887654822630347*I,0.14791235706205644-0.15273921798029894*I
-0.04720094386980176+0.04863383541012536*I,0.14796534592305716-0.15245716907428547*I
-0.04706983544591802+0.04839166416798288*I,0.148018355113527-0.15217504933878423*I
