-0.08333337361790437-1.841675811944026*I,0.08333337445123812+1.8416758303607843*I
-0.08448885493866143-0.9982814275419268*I,0.08457342921360933+0.999280718252987*I
-0.0853059747812878-0.924552881184877*I,0.0854769294950472+0.9264057018526394*I
-0.08599913657136042-0.8790375225320304*I,0.08625791116744186+0.8816825790861146*I
-0.08661350957759553-0.8455701795670374*I,0.08696135587069187+0.848966052265761*I
-0.08717039972485616-0.8188984950405837*I,0.08760844281501567+0.8230135711263512*I
-0.08768227495078156-0.7966234836223136*I,0.08821154510351811+0.8014320841414834*I
-0.08815732221436165-0.7774398845224486*I,0.0887787745238161+0.7829203346945136*I
-0.08860132486985943-0.7605555939087213*I,0.08931585258368746+0.7666891144915449*I
-0.08901858130933833-0.7454523446962505*I,0.08982702543653742+0.7522223533990657*I
-0.0894124083665128-0.7317717779521609*I,0.09031556491885703+0.739163419539187*I
-0.0897854404570182-0.7192553809510647*I,0.09078406609186943+0.7272551953727165*I
-0.09013981855126592-0.7077103033703445*I,0.09123463508462781+0.7163059823212594*I
-0.09047731541726733-0.6969887031068014*I,0.09166901350958204+0.7061689059457857*I
-0.09079942189975058-0.686974652111973*I,0.09208866411829333+0.6967288631635513*I
-0.09110740828378038-0.6775755000697788*I,0.09249483168398853+0.6878939156839777*I
-0.09140236912219535-0.6687159862680063*I,0.0928885874502858+0.6795894238454274*I
-0.0916852567384377-0.6603341103309731*I,0.09327086233076942+0.6717539339252416*I
-0.09195690676302144-0.6523781652098646*I,0.09364247219902869+0.6643362238831231*I
-0.09221805793440897-0.644804559717955*I,0.09400413748669761+0.6572931358724632*I
-0.09246936768574977-0.6375761905244074*I,0.0943564986013416+0.6505879561533541*I
-0.09271142457943023-0.6306612047473751*I,0.09470012821903118+0.6441891840544096*I
-0.09294475834597975-0.6240320455120083*I,0.0950355412027967+0.6380695827123765*I
-0.09316984807620636-0.6176647059912765*I,0.09536320269174861+0.6322054373729078*I
-0.09338712897132816-0.6115381394050878*I,0.09568353476246261+0.6265759689250487*I
-0.09359699795402554-0.605633787301036*I,0.09599692196307155+0.6211628651411946*I
-0.09379981837016506-0.5999351986702095*I,0.09630371594784623+0.6159499022892285*I
-0.09399592395758322-0.5944277196208444*I,0.09660423938707668+0.6109226369271026*I
-0.09418562221886333-0.5890982384354084*I,0.09689878928791279+0.6060681527737551*I
-0.09436919730550164-0.5839349745206216*I,0.09718763983252116+0.6013748512197427*I
-0.09454691249848579-0.5789273024543515*I,0.09747104481772809+0.5968322767244065*I
-0.09471901235319354-0.5740656043279424*I,0.09774923976334979+0.5924309703325615*I
-0.09488572456327789-0.5693411450756208*I,0.09802244374328753+0.5881623460302111*I
-0.09504726158788739-0.5647459666118915*I,0.09829086098324302+0.5840185857829135*I
-0.0952038220784464-0.5602727974602032*I,0.09855468226086256+0.5799925499587254*I
-0.09535559213477976-0.5559149752206404*I,0.09881408613774159+0.5760777004988782*I
-0.09550274641522445-0.5516663797407138*I,0.0990692400476316+0.5722680347130644*I
-0.09564544912122931-0.5475213752576712*I,0.09932030126109276+0.5685580279784543*I
-0.09578385487359503-0.543474760099793*I,0.0995674177435231+0.564942583938897*I
-0.09591810949477862-0.539521722787578*I,0.09981072892079701+0.5614169910528075*I
-0.09604835070944331-0.5356578035784275*I,0.1000503663645281+0.5579768845397879*I
-0.09617470877360015-0.5318788606615317*I,0.1002864544071582+0.5546182129381791*I
-0.09629730704115488-0.5281810403416689*I,0.1005191106955595+0.551337208616953*I
-0.09641626247540595-0.5245607506580808*I,0.10074844669058561+0.5481303616921468*I
-0.09653168611197821-0.5210146379724848*I,0.10097456811895805+0.5449943968853858*I
-0.09664368347878219-0.5175395661325842*I,0.10119757538299262+0.541926252933871*I
-0.096752354977838-0.514132597877149*I,0.10141756393292836+0.5389230642205238*I
-0.09685779623316665-0.5107909781983195*I,0.10163462460599465+0.5359821443422257*I
-0.09696009840840908-0.5075121194181009*I,0.10184884393581672+0.5331009713751163*I
-0.09705934849736968-0.504293587770593*I,0.10206030443530256+0.5302771746302468*I
-0.09715562959028903-0.5011330913105776*I,0.10226908485576831+0.5275085227217504*I
-0.09724902111830781-0.4980284689935827*I,0.10247526042472122+0.5247929127940062*I
-0.0973395990782929-0.49497768079329846*I,0.10267890306443242+0.5221283607748757*I
-0.09742743623994166-0.4919787987398481*I,0.10288008159318107+0.5195129925395756*I
-0.09751260233686418-0.4890299987774432*I,0.10307886191083807+0.5169450358846656*I
-0.09759516424314989-0.4861295533527889*I,0.10327530717026769+0.5144228132243567*I
-0.09767518613675814-0.4832758246566246*I,0.10346947793586116+0.5119447349322797*I
-0.09775272965093111-0.4804672584502715*I,0.10366143233037693+0.509509293261256*I
-0.0978278540146949-0.47770237841720786*I,0.10385122617113289+0.5071150567816969*I
-0.09790061618340719-0.4749797809867922*I,0.10403891309648919+0.50476066528629*I
-0.0979710709602088-0.47229813058335757*I,0.10422454468346196+0.502444825114687*I
-0.09803927110915038-0.4696561552592556*I,0.10440817055722268+0.5001663048572084*I
-0.09810526746068902-0.46705264267505575*I,0.10458983849316354+0.4979239314011674*I
-0.09816910901018178-0.46448643639416887*I,0.10476959451214272+0.49571658628744375*I
-0.09823084300994067-0.4619564324627332*I,0.104947482969461+0.49354320234846716*I
-0.09829051505536349-0.45946157624868683*I,0.10512354663807376+0.4914027606018337*I
-0.09834816916560284-0.45700085951739144*I,0.1052978267864894+0.4892942873772316*I
-0.09840384785919652-0.45457331771884757*I,0.10547036325176867+0.4872168516516786*I
-0.09845759222504252-0.452178027478159*I,0.10564119450799836+0.48516956258568095*I
-0.09850944198906639-0.4498141042580608*I,0.10581035773057999+0.48315156722833136*I
-0.09855943557690093-0.4474807001893947*I,0.10597788885664497+0.4811620483881883*I
-0.0986076101728682-0.4451770020512223*I,0.10614382264187992+0.4792002226514796*I
-0.09865400177552955-0.44290222938899354*I,0.10630819271402099+0.47726533853625747*I
-0.09869864525004654-0.4406556327595364*I,0.10647103162325443+0.4753566747714166*I
-0.09874157437757732-0.4384364920927245*I,0.10663237088974192+0.4734735386905614*I
-0.09878282190191101-0.43624411516058537*I,0.10679224104846856+0.47161526473160864*I
-0.09882241957352995-0.43407783614547885*I,0.10695067169159814+0.4697812130338647*I
-0.09886039819127142-0.4319370142997129*I,0.10710769150850306+0.46797076812504934*I
-0.09889678764174947-0.42982103268965444*I,0.10726332832362555+0.46618333769141845*I
-0.09893161693668234-0.4277292970179965*I,0.107417609132311+0.464418351424734*I
-0.0989649142482926-0.42566123451838783*I,0.10757056013478065+0.46267525994037006*I
-0.09899670694271727-0.4236162929171512*I,0.10772220676816033+0.4609535337613564*I
-0.09902702161202394-0.4215939394572047*I,0.10787257373720008+0.45925266236354173*I
-0.0990558841042832-0.4195936599797971*I,0.10802168504307531+0.45757215327755574*I
-0.09908331955228937-0.41761495805994414*I,0.10816956401090067+0.4559115312435147*I
-0.09910935240089595-0.41565735419184163*I,0.1083162333159107+0.45427033741480327*I
-0.0991340064328755-0.41372038502080416*I,0.10846171500819765+0.45264812860753334*I
-0.09915730479367275-0.41180360261857396*I,0.10860603053639985+0.4510444765925726*I
-0.09917927001490189-0.40990657379907647*I,0.10874920077016874+0.4494589674272655*I
-0.09919992403674766-0.4080288794719304*I,0.1088912460215808+0.4478912008241958*I
-0.0992192882293208-0.4061701140312357*I,0.1090321860655414+0.4463407895545534*I
-0.09923738341302427-0.4043298847773386*I,0.10917204015923507+0.4448073588838418*I
-0.09925422987798899-0.40250781136945746*I,0.10931082706067981+0.4432905460378446*I
-0.09926984740262872-0.40070352530720216*I,0.1094485650464326+0.4417899996969153*I
-0.09928425527136416-0.39891666943917165*I,0.10958527192849545+0.44030537951680515*I
-0.09929747229156122-0.3971468974969408*I,0.10972096507046505+0.4388363556743695*I
-0.09930951680972519-0.3953938736528726*I,0.1098556614029666+0.4373826084366136*I
-0.09932040672699187-0.393657272100303*I,0.10998937743841157+0.43594382775165147*I
-0.09933015951395215-0.39193677665474974*I,0.11012212928511468+0.43451971286025154*I
-0.09933879222484517-0.39023208037488455*I,0.1102539326608041+0.4331099719267306*I
-0.09934632151115207-0.38854288520210567*I,0.11038480290555566+0.43171432168805435*I
-0.0993527636346232-0.3868689016176169*I,0.11051475499418326+0.4303324871200687*I
-0.09935813447976541-0.38520984831600164*I,0.11064380354811074+0.42896420111987044*I
-0.09936244956581744-0.38356545189434194*I,0.11077196284675259+0.4276092042033824*I
-0.09936572405823958-0.38193544655600253*I,0.11089924683842864+0.4262672442172712*I
-0.09936797277974112-0.38031957382825027*I,0.11102566915083555+0.4249380760643922*I
-0.09936921022086771-0.3787175822929403*I,0.11115124310109636+0.42362146144200774*I
-0.09936945055017107-0.37712922732954596*I,0.11127598170540974+0.422317168592069*I
-0.0993687076239808-0.375554270869856*I,0.11139989768831814+0.4210249720628988*I
-0.09936699499579657-0.3739924811637089*I,0.11152300349161236+0.41974465248165593*I
-0.0993643259253194-0.37244363255516827*I,0.11164531128289046+0.41847599633699806*I
-0.0993607133871389-0.3709075052685865*I,0.11176683296378766+0.41721879577139986*I
-0.09935617007909212-0.3693838852040316*I,0.1118875801778918+0.4159728483826127*I
-0.09935070843030945-0.3678725637415914*I,0.11200756431835975+0.41473795703378913*I
-0.09934434060896112-0.3663733375540909*I,0.11212679653524728+0.4135139296718174*I
-0.09933707852971924-0.36488600842779473*I,0.11224528774256737+0.4123005791534469*I
-0.09932893386094666-0.36341038309068474*I,0.11236304862508727+0.41109772307880316*I
-0.09931991803162593-0.36194627304793114*I,0.1124800896448775+0.4099051836319173*I
-0.09931004223803862-0.36049349442419876*I,0.11259642104762226+0.4087227874279214*I
-0.0992993174502078-0.3590518678124463*I,0.11271205286870413+0.407550365366572*I
-0.09928775441811169-0.3576212181289011*I,0.11282699493907004+0.4063877524917939*I
-0.09927536367768004-0.3562013744739076*I,0.11294125689089035+0.40523478785694594*I
-0.0992621555565822-0.35479216999836394*I,0.113054848163019+0.40409131439553203*I
-0.09924814017981456-0.3533934417754809*I,0.11316777800626265+0.4029571787970954*I
-0.0992333274750975-0.35200503067760536*I,0.1132800554884681+0.4018322313880453*I
-0.09921772717808866-0.35062678125787505*I,0.11339168949943493+0.40071632601718665*I
-0.09920134883742043-0.3492585416364724*I,0.11350268875566055+0.3996093199457273*I
-0.09918420181956883-0.3479001633912678*I,0.11361306180492492+0.39851107374155614*I
-0.09916629531356112-0.34655150145264624*I,0.11372281703072168+0.39742145117759264*I
-0.09914763833552723-0.34521241400232994*I,0.1138319626565406+0.39634031913402196*I
-0.09912823973310399-0.3438827623760119*I,0.11394050675001041+0.39526754750423837*I
-0.09910810818969433-0.34256241097000406*I,0.11404845722690324+0.3942030091047574*I
-0.09908725222859079-0.3412512271494597*I,0.11415582185501039+0.3931465795863197*I
-0.0990656802169664-0.33994908116380085*I,0.11426260825789215+0.39209813735269*I
-0.09904340036973862-0.3386558460613627*I,0.11436882391850677+0.39105756347798887*I
-0.09902042075331166-0.3373713976090974*I,0.1144744761827242+0.3900247416293004*I
-0.09899674928920144-0.33609561421477124*I,0.1145795722627282+0.3889995579916283*I
